,demand,hdd,t2m3,rh,t2m4,t2min,cdd,w10,q,mtpr,t2m,msdwswrf,t2max
2020-05-11,206236.70776636022,4.755167292487061,284.7092240190584,68.14573424798306,286.09744492053215,278.70156130778383,0.0,1.778751764455792,5.077499818362728,1.5762462190112642e-07,283.0280718690815,162.37699541503807,288.8334641634859
2020-05-12,204231.83057264276,5.983707298040818,283.58329107196886,72.38174485298644,284.73208707857617,280.5743951994338,0.0,1.7617048122358865,6.177022361841253,-1.3545375798894112e-07,284.8002547426704,150.71583154443906,289.72070396541596
2020-05-13,210328.39669934762,6.85994794111596,284.14368627968196,73.50189108078833,283.83812907962573,282.29349276014045,0.0,2.145490136806048,6.1859146163800505,1.704798226030848e-05,284.6022129552703,119.20206410207538,289.99972242348207
2020-05-14,210238.0960571391,6.357548677321947,284.77502728689143,76.42010699029025,284.3383980981356,281.90258716399035,0.0,3.5440433958831226,6.572388465308689,3.478797850667531e-05,284.9221094710489,105.23264637188952,287.9645949518904
2020-05-15,206186.90355887613,5.71902297406702,285.03561328965003,80.74250716132929,284.9768843840995,282.94272267425225,0.0,2.756816909264754,7.264996485581412,2.0553487987066596e-05,285.58200525239516,121.42463169481452,288.75850632434464
2020-05-18,206599.37408645797,4.4638780638492115,286.4497453221927,82.3352560292582,286.2329127813963,284.36800467529696,0.0,1.3963782344608209,8.272745361236186,8.147301252177136e-06,287.337120394489,98.80223342447108,290.32923672782465
2020-05-19,198475.88833161953,4.029715918834217,287.06843488064123,80.55623794384019,286.66722931855264,284.08182867956066,0.0,2.2492384234960694,8.135543930002248,8.936082878386886e-06,287.3192375330175,126.85836548851383,291.21701824497967
2020-05-20,196055.87531257427,3.227912481349186,287.80073808414033,74.98290335191813,287.48776804359096,284.58282943590365,0.0,2.945777999382365,8.380387588489503,1.1156752721205068e-05,288.74531267126514,122.22831762315587,293.0839001441784
2020-05-21,213487.65495150178,3.662493982283598,286.95834543393926,82.89713370904535,287.05314628576565,281.0781688909028,0.0,3.7137476060364816,7.197528299065435,0.00043263279087343533,284.80994669531736,90.07137103464301,289.7490994374747
2020-05-22,214407.68217153035,4.182606432165746,286.2694068412899,69.24050853612721,286.5319753864631,282.4436061134072,0.0,5.509700883472421,6.093916772628676,4.691442568283523e-05,285.25244188459556,77.1639627622563,286.8756721334994
